   11.8000069      -1.68876541      -7.96732140       251.298065    
   11.8000069      -1.36892867      -7.56779289       287.198730    
   11.8000069     -0.436784655      -7.63877058       323.099609    
   11.8000069     -0.337007284      -7.67713165       359.000488    
   11.9000072      0.954929650       0.00000000    
   11.9000072     -0.957655728      -7.52534533       35.8999863    
   11.9000072     -0.604695916      -7.79110146       71.8001022    
   11.9000072      -1.47344112      -7.97290659       107.700218    
   11.9000072     -0.646146357      -7.70458412       143.600006    
   11.9000072     -0.842208266      -7.47976208       179.499359    
   11.9000072     -0.602064013      -7.65695143       215.398712    
   11.9000072      -1.14428294      -7.38054514       251.298065    
   11.9000072      -1.02722919      -7.20877981       287.198730    
   11.9000072     -0.223424435      -7.86876202       323.099609    
   11.9000072     -0.413494945      -7.60528278       359.000488    
   12.0000076      0.954929650       0.00000000    
   12.0000076      -1.27587318      -7.79444361       35.8999863    
   12.0000076     -0.903022766      -7.56326199       71.8001022    
   12.0000076     -0.435050398      -7.96678114       107.700218    
   12.0000076      -1.16503417      -7.60818386       143.600006    
   12.0000076      -1.65161979      -8.08216000       179.499359    
   12.0000076      -1.52085054      -7.91324234       215.398712    
   12.0000076     -0.727490544      -7.45968628       251.298065    
   12.0000076     -0.770879865      -7.34619427       287.198730    
   12.0000076      -1.86763620      -7.96937370       323.099609    
   12.0000076     -0.416979849      -7.61754942       359.000488    
   12.1000080      0.954929650       0.00000000    
   12.1000080      -1.54979217      -8.09774971       35.8999863    
   12.1000080      -1.37160861      -7.90660667       71.8001022    
   12.1000080     -0.932195187      -7.54542398       107.700218    
   12.1000080     -0.254965037      -8.11507702       143.600006    
   12.1000080     -0.885664403      -7.48851061       179.499359    
   12.1000080     -0.899106205      -7.42348289       215.398712    
   12.1000080      -5.65349907E-02  -8.09041023       251.298065    
   12.1000080     -0.503456414      -7.67211676       287.198730    
   12.1000080      -1.72524989      -7.91254139       323.099609    
   12.1000080     -0.529480338      -7.49231148       359.000488    
   12.2000084      0.954929650       0.00000000    
   12.2000084      -1.75370419      -8.24347591       35.8999863    
   12.2000084      -1.74960756      -8.23353577       71.8001022    
   12.2000084      -1.58865702      -8.11687469       107.700218    
   12.2000084      -1.00543475      -7.50581360       143.600006    
   12.2000084      -1.95575356      -8.21334362       179.499359    
   12.2000084     -0.418998867      -7.89974308       215.398712    
   12.2000084      -1.54986000      -7.90150309       251.298065    
   12.2000084     -0.132270247      -8.02278900       287.198730    
   12.2000084      -1.61389124      -7.84329271       323.099609    
   12.2000084     -0.614869535      -7.40119696       359.000488    
   12.3000088      0.954929650       0.00000000    
   12.3000088     -0.256139517      -8.17511082       35.8999863    
   12.3000088     -0.601111412      -7.84288406       71.8001022    
   12.3000088     -0.570459366      -7.85949612       107.700218    
   12.3000088      -1.82601607      -8.23515415       143.600006    
   12.3000088     -0.964156151      -7.47472095       179.499359    
   12.3000088      -1.38875759      -7.80905294       215.398712    
   12.3000088     -0.955477238      -7.34244156       251.298065    
   12.3000088      -1.55256104      -7.85847187       287.198730    
   12.3000088      -1.41061187      -7.63105679       323.099609    
   12.3000088     -0.596945941      -7.43999100       359.000488    
   12.4000092      0.954929650       0.00000000    
   12.4000092     -0.631357610      -7.83236170       35.8999863    
   12.4000092     -0.866558075      -7.63192987       71.8001022    
   12.4000092     -0.940130055      -7.58002281       107.700218    
   12.4000092     -0.871330678      -7.58042574       143.600006    
   12.4000092     -0.148119017      -8.18094444       179.499359    
   12.4000092     -0.816381097      -7.51690817       215.398712    
   12.4000092     -0.639588773      -7.61362934       251.298065    
   12.4000092      -1.23439622      -7.49585629       287.198730    
   12.4000092      -1.22604096      -7.41061592       323.099609    
   12.4000092     -0.580741346      -7.47622299       359.000488    
   12.5000095      0.954929650       0.00000000    
   12.5000095     -0.835866511      -7.67131138       35.8999863    
   12.5000095      -1.30574942      -7.88277435       71.8001022    
   12.5000095      -1.62856019      -8.17947483       107.700218    
   12.5000095      -1.65268111      -8.17406464       143.600006    
   12.5000095      -1.20125949      -7.67504930       179.499359    
   12.5000095      -1.91826606      -8.20077991       215.398712    
   12.5000095      -1.83111465      -8.12681293       251.298065    
   12.5000095     -0.943019986      -7.31196308       287.198730    
   12.5000095      -1.14713871      -7.33756351       323.099609    
   12.5000095     -0.705430865      -7.34365749       359.000488    
   12.6000099      0.954929650       0.00000000    
   12.6000099     -0.937786460      -7.64055014       35.8999863    
   12.6000099      -1.72045720      -8.26181889       71.8001022    
   12.6000099     -0.723353267      -7.74079227       107.700218    
   12.6000099     -0.842342496      -7.62745285       143.600006    
   12.6000099     -0.639994621      -7.75848103       179.499359    
   12.6000099      -1.33510447      -7.78852129       215.398712    
   12.6000099      -1.45509100      -7.85810661       251.298065    
   12.6000099     -0.813469589      -7.40528631       287.198730    
   12.6000099      -1.06212401      -7.27539396       323.099609    
   12.6000099     -0.799848974      -7.25774765       359.000488    
   12.7000103      0.954929650       0.00000000    
   12.7000103      -1.12428808      -7.72026110       35.8999863    
   12.7000103     -0.255039096      -8.20360947       71.8001022    
   12.7000103     -0.920918465      -7.63504887       107.700218    
   12.7000103      -1.37919533      -7.94475460       143.600006    
   12.7000103      -1.23639202      -7.74201012       179.499359    
   12.7000103     -0.677584648      -7.68212223       215.398712    
   12.7000103     -0.857276917      -7.45427275       251.298065    
   12.7000103     -0.296517789      -7.96690226       287.198730    
   12.7000103     -0.843316019      -7.32565641       323.099609    
   12.7000103     -0.689755440      -7.39458990       359.000488    
   12.8000107      0.954929650       0.00000000    
   12.8000107      -1.44773340      -8.07774353       35.8999863    
   12.8000107     -0.836590827      -7.69561052       71.8001022    
   12.8000107      -1.62539101      -8.20818806       107.700218    
   12.8000107     -0.647658706      -7.81136322       143.600006    
   12.8000107     -0.714374781      -7.70901775       179.499359    
   12.8000107      -1.72937667      -8.17354393       215.398712    
   12.8000107     -0.564153135      -7.75215960       251.298065    
   12.8000107      -1.82438111      -8.10883141       287.198730    
   12.8000107     -0.808928907      -7.36724663       323.099609    
   12.8000107     -0.740640044      -7.35411644       359.000488    
   12.9000111      0.954929650       0.00000000    
   12.9000111      -1.64868283      -8.25522327       35.8999863    
   12.9000111      -1.20273817      -7.81657648       71.8001022    
   12.9000111     -0.718184173      -7.77893782       107.700218    
